Date,High,Low,Mid,Last,Bid,Ask,Volume
3/20/2017,1059,1009.7,1042.85,1042.8,1042.8,1042.9,27459.92906
3/13/2017,1232.7,1166.8,1224.45,1224.4,1224.4,1224.5,18953.10118
3/12/2017,1196.6,1101.2,1172.75,1172.1,1172.5,1173,31280.63998
3/11/2017,1339.9,958.5,1112.65,1113.4,1112.6,1112.7,104918.8322
3/10/2017,1207.6,1136,1190.35,1190.3,1190.3,1190.4,24142.71885
3/9/2017,1243.6,1142.1,1149.35,1150,1149.3,1149.4,46839.64627
3/8/2017,1282,1185,1232.35,1232.3,1232.3,1232.4,42009.04882
3/7/2017,1287.8,1268,1279.25,1279.2,1279.2,1279.3,9602.858263
3/6/2017,1279.9,1245,1278.45,1278.4,1278.4,1278.5,9315.221673
3/5/2017,1291.9,1240,1267.25,1267,1267,1267.5,15527.60449
3/4/2017,1294.9,1256,1289.3,1289.7,1288.9,1289.7,22309.05201
3/3/2017,1285.9,1212,1257.55,1257.4,1257.3,1257.8,30526.80495
3/2/2017,1236.4,1186,1234.8,1234.8,1234.7,1234.9,22560.00165
3/1/2017,1216,1176.6,1189.1,1189.1,1189,1189.2,17402.74655
2/28/2017,1204,1170,1195.7,1195.9,1195.4,1196,11831.19391
2/27/2017,1186.1,1130.7,1179.2,1178.7,1178.7,1179.7,11081.0954
2/26/2017,1189.9,1131.3,1153.2,1153,1153,1153.4,16261.82898
2/25/2017,1222.4,1110,1185.15,1185.2,1185.1,1185.2,48200.52514
2/24/2017,1197,1116.5,1190.15,1190.7,1189.9,1190.4,26149.4192
2/23/2017,1140,1106.4,1125.85,1126.6,1125.5,1126.2,14348.59465
2/22/2017,1134,1085,1130.4,1129.6,1130,1130.8,24498.36718
2/21/2017,1110,1040.1,1091.2,1090.9,1090.9,1091.5,13294.76181
2/20/2017,1066,1045,1056.25,1056.2,1056.2,1056.3,6437.476475
2/19/2017,1071.1,1053.1,1059.8,1059.8,1059.5,1060.1,7146.109405
2/18/2017,1067.4,1033.1,1056.95,1056.9,1056.9,1057,16172.94741
2/17/2017,1045.8,1013.9,1037.25,1038.5,1037.2,1037.3,11242.73277
2/16/2017,1018.2,1002.3,1013.95,1014,1013.9,1014,5608.513861
2/15/2017,1019,988.6,1013.25,1013.3,1013.2,1013.3,12202.30781
2/14/2017,1004.8,974.22,996.515,996.52,996.51,996.52,9055.110709
2/13/2017,1005.8,992.33,996.07,996,996,996.14,4349.235768
2/12/2017,1009,984.01,1000.15,1000,1000,1000.3,9318.501284
2/11/2017,1002,949.36,992.8,992.99,992.61,992.99,24494.98955
2/10/2017,1078,936.34,984.98,984.99,984.97,984.99,59941.06867
2/9/2017,1070,1006.5,1048.95,1048.9,1048.9,1049,23105.63125
2/8/2017,1056.4,1021.7,1052.3,1052.1,1052.1,1052.5,15187.02639
2/7/2017,1026.3,1006,1022.4,1022.6,1022,1022.8,8898.684434
2/6/2017,1033,995.1,1007,1006.6,1006.7,1007.3,16188.32221
2/5/2017,1040,1001.6,1030.9,1031.1,1030.7,1031.1,17134.09357
2/4/2017,1020.5,986.11,1016.65,1016.9,1016.4,1016.9,19029.92893
2/3/2017,1010.6,970.1,1007.1,1007,1007,1007.2,17790.84478
2/2/2017,985,960.1,983.635,983.52,983.56,983.71,11349.92981
2/1/2017,969.4,916.75,966.195,966.2,966.19,966.2,19615.15771
1/31/2017,920.89,910.01,917.16,917.36,917.01,917.31,3480.83832
1/30/2017,922.99,910.72,912.63,912.55,912.56,912.7,2700.815995
1/29/2017,923.99,915.01,919.555,919.43,919.47,919.64,3614.961338
1/28/2017,922.16,905,916.885,916.7,916.79,916.98,10140.74589
1/27/2017,917.64,893.49,915.135,915.37,915.12,915.15,9821.65149
1/26/2017,899.61,884.2,893.68,893.35,893.46,893.9,10476.7203
1/25/2017,927.34,884.2,886.445,886.45,886.44,886.45,20580.09225
1/24/2017,928.87,905.99,906.075,905.99,905.99,906.16,9808.193817
1/23/2017,939.9,892,923.715,923.72,923.71,923.72,21844.1628
1/22/2017,931.01,893.89,924.26,924.02,924.22,924.3,12173.61852
1/21/2017,904.99,883.06,895.955,896.14,895.58,896.33,9493.976857
1/20/2017,910.03,883.49,901.81,901.56,901.56,902.06,15074.00853
1/19/2017,913.85,847.23,888.375,888.14,888.25,888.5,21313.19616
1/18/2017,910.8,828,903.975,903.99,903.96,903.99,27345.22656
1/17/2017,837.97,813.94,830.05,830.1,830,830.1,7652.416471
1/16/2017,823,805.03,821.07,820.74,820.94,821.2,5379.118236
1/15/2017,838.54,800.03,817.345,815.85,816.84,817.85,12533.8969
1/14/2017,832.39,775.61,827.25,827.22,826.39,828.11,25871.21133
1/13/2017,831.18,735,804.745,804.99,804.55,804.94,35863.46783
1/12/2017,923.66,760,778.015,779.56,776.74,779.29,62866.22307
1/11/2017,918,895.48,906.38,905.75,905.76,907,12138.49291
1/10/2017,916.7,875,903.005,903.01,903,903.01,16587.32047
1/9/2017,943.6,890,915.95,915.9,915.9,916,30721.60706
1/8/2017,911.09,815,908.505,908.1,908.01,909,40623.60471
1/7/2017,1025,871,898.435,898.5,898.3,898.57,57391.66971
1/6/2017,1166,850.79,1003.75,1003.4,1003.6,1003.9,91218.60068
1/5/2017,1150,1036.4,1138.65,1139.6,1138.6,1138.7,53698.69204
1/4/2017,1040,1013.5,1038.5,1038,1038,1039,14128.62571
1/3/2017,1035,994.1,1019.45,1019.5,1019.3,1019.6,21804.19722
1/2/2017,1006.5,961.26,998.29,999.24,997.34,999.24,13440.45626
1/1/2017,968.2,945.01,966.995,966.61,966.62,967.37,7147.774423
12/31/2016,972,929.5,958.98,959.16,958.76,959.2,19324.27774
12/30/2016,983,945,971.995,972,971.99,972,22590.70557
12/29/2016,983,935.93,981.34,981.7,981.26,981.42,20823.10823
12/28/2016,940,903.51,936.475,936.43,936.47,936.48,9178.735048
12/27/2016,920,894.21,907.62,908.78,907.43,907.81,11814.8195
12/26/2016,904.55,858.62,898.25,898.42,898.08,898.42,12059.32963
12/25/2016,919.99,882.41,895.275,895.24,895.27,895.28,7388.143102
12/24/2016,920,859,917.245,918.99,916.95,917.54,26019.00404
12/23/2016,874,825,859.155,859,859.11,859.2,15262.5244
12/22/2016,830.5,794.95,829.415,829.33,829.33,829.5,16203.0868
12/21/2016,802.33,787.86,799.2,799.35,799.04,799.36,7009.012996
12/20/2016,792.27,787.75,790.585,790.59,790.58,790.59,2151.081346
12/19/2016,792.8,784.36,790.2,790.18,790.19,790.21,2433.261158
12/18/2016,793,782.93,790.985,790.99,790.98,790.99,6201.312143
12/17/2016,785.06,775.85,784.165,784.17,784.16,784.17,4774.967768
12/16/2016,780.12,774.5,777.775,777.43,777.77,777.78,3184.82203
12/15/2016,781.16,771.15,774.495,774.49,774.49,774.5,3680.695691
